Program,Input Size,Average Time (secs)
1, sq_mat_ver_mult_omp, 4096,  secs,  secs
2, sq_mat_ver_mult_omp, 4096,  secs,  secs
3, sq_mat_ver_mult_omp, 4096,  secs,  secs
4, sq_mat_ver_mult_omp, 4096,  secs,  secs
5, sq_mat_ver_mult_omp, 4096,  secs,  secs
6, sq_mat_ver_mult_omp, 4096,  secs,  secs
7, sq_mat_ver_mult_omp, 4096,  secs,  secs
8, sq_mat_ver_mult_omp, 4096,  secs,  secs
9, sq_mat_ver_mult_omp, 4096,  secs,  secs
10, sq_mat_ver_mult_omp, 4096,  secs,  secs
1, sq_mat_ver_mult_omp, 8192,  secs,  secs
2, sq_mat_ver_mult_omp, 8192,  secs,  secs
3, sq_mat_ver_mult_omp, 8192,  secs,  secs
4, sq_mat_ver_mult_omp, 8192,  secs,  secs
5, sq_mat_ver_mult_omp, 8192,  secs,  secs
6, sq_mat_ver_mult_omp, 8192,  secs,  secs
7, sq_mat_ver_mult_omp, 8192,  secs,  secs
8, sq_mat_ver_mult_omp, 8192,  secs,  secs
9, sq_mat_ver_mult_omp, 8192,  secs,  secs
10, sq_mat_ver_mult_omp, 8192,  secs,  secs
1, sq_mat_ver_mult_omp, 16384,  secs,  secs
2, sq_mat_ver_mult_omp, 16384,  secs,  secs
3, sq_mat_ver_mult_omp, 16384,  secs,  secs
4, sq_mat_ver_mult_omp, 16384,  secs,  secs
5, sq_mat_ver_mult_omp, 16384,  secs,  secs
6, sq_mat_ver_mult_omp, 16384,  secs,  secs
7, sq_mat_ver_mult_omp, 16384,  secs,  secs
8, sq_mat_ver_mult_omp, 16384,  secs,  secs
9, sq_mat_ver_mult_omp, 16384,  secs,  secs
10, sq_mat_ver_mult_omp, 16384,  secs,  secs
1, sq_mat_ver_mult_omp, 32768,  secs,  secs
2, sq_mat_ver_mult_omp, 32768,  secs,  secs
3, sq_mat_ver_mult_omp, 32768,  secs,  secs
4, sq_mat_ver_mult_omp, 32768,  secs,  secs
5, sq_mat_ver_mult_omp, 32768,  secs,  secs
6, sq_mat_ver_mult_omp, 32768,  secs,  secs
7, sq_mat_ver_mult_omp, 32768,  secs,  secs
8, sq_mat_ver_mult_omp, 32768,  secs,  secs
9, sq_mat_ver_mult_omp, 32768,  secs,  secs
10, sq_mat_ver_mult_omp, 32768,  secs,  secs
1, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
1, sq_mat_ver_mult, 64, . secs, 0 secs
2, sq_mat_ver_mult, 64, . secs, 0 secs
3, sq_mat_ver_mult, 64, . secs, 0 secs
4, sq_mat_ver_mult, 64, . secs, 0 secs
5, sq_mat_ver_mult, 64, . secs, 0 secs
6, sq_mat_ver_mult, 64, . secs, 0 secs
7, sq_mat_ver_mult, 64, . secs, 0 secs
8, sq_mat_ver_mult, 64, . secs, 0 secs
9, sq_mat_ver_mult, 64, . secs, 0 secs
10, sq_mat_ver_mult, 64, . secs, 0 secs
1, sq_mat_ver_mult, 128, . secs, 0 secs
2, sq_mat_ver_mult, 128, . secs, 0 secs
3, sq_mat_ver_mult, 128, . secs, 0 secs
4, sq_mat_ver_mult, 128, . secs, 0 secs
5, sq_mat_ver_mult, 128, . secs, 0 secs
6, sq_mat_ver_mult, 128, . secs, 0 secs
7, sq_mat_ver_mult, 128, . secs, 0 secs
8, sq_mat_ver_mult, 128, . secs, 0 secs
9, sq_mat_ver_mult, 128, . secs, 0 secs
10, sq_mat_ver_mult, 128, . secs, 0 secs
1, sq_mat_ver_mult, 256, . secs, 0 secs
2, sq_mat_ver_mult, 256, . secs, 0 secs
3, sq_mat_ver_mult, 256, . secs, 0 secs
4, sq_mat_ver_mult, 256, . secs, 0 secs
5, sq_mat_ver_mult, 256, . secs, 0 secs
6, sq_mat_ver_mult, 256, . secs, 0 secs
7, sq_mat_ver_mult, 256, . secs, 0 secs
8, sq_mat_ver_mult, 256, . secs, 0 secs
9, sq_mat_ver_mult, 256, . secs, 0 secs
10, sq_mat_ver_mult, 256, . secs, 0 secs
1, sq_mat_ver_mult, 512, . secs, 0 secs
2, sq_mat_ver_mult, 512, . secs, 0 secs
3, sq_mat_ver_mult, 512, . secs, 0 secs
4, sq_mat_ver_mult, 512, . secs, 0 secs
5, sq_mat_ver_mult, 512, . secs, 0 secs
6, sq_mat_ver_mult, 512, . secs, 0 secs
7, sq_mat_ver_mult, 512, . secs, 0 secs
8, sq_mat_ver_mult, 512, . secs, 0 secs
9, sq_mat_ver_mult, 512, . secs, 0 secs
10, sq_mat_ver_mult, 512, . secs, 0 secs
1, sq_mat_ver_mult, 1024, . secs, 0 secs
2, sq_mat_ver_mult, 1024, . secs, 0 secs
3, sq_mat_ver_mult, 1024, . secs, 0 secs
4, sq_mat_ver_mult, 1024, . secs, 0 secs
5, sq_mat_ver_mult, 1024, . secs, 0 secs
6, sq_mat_ver_mult, 1024, . secs, 0 secs
7, sq_mat_ver_mult, 1024, . secs, 0 secs
8, sq_mat_ver_mult, 1024, . secs, 0 secs
9, sq_mat_ver_mult, 1024, . secs, 0 secs
10, sq_mat_ver_mult, 1024, . secs, 0 secs
1, sq_mat_ver_mult, 2048, . secs, 0 secs
2, sq_mat_ver_mult, 2048, . secs, 0 secs
3, sq_mat_ver_mult, 2048, . secs, 0 secs
4, sq_mat_ver_mult, 2048, . secs, 0 secs
5, sq_mat_ver_mult, 2048, . secs, 0 secs
6, sq_mat_ver_mult, 2048, . secs, 0 secs
7, sq_mat_ver_mult, 2048, . secs, 0 secs
8, sq_mat_ver_mult, 2048, . secs, 0 secs
9, sq_mat_ver_mult, 2048, . secs, 0 secs
10, sq_mat_ver_mult, 2048, . secs, 0 secs
1, sq_mat_ver_mult, 4096, . secs, 0 secs
2, sq_mat_ver_mult, 4096, . secs, 0 secs
3, sq_mat_ver_mult, 4096, . secs, 0 secs
4, sq_mat_ver_mult, 4096, . secs, 0 secs
5, sq_mat_ver_mult, 4096, . secs, 0 secs
6, sq_mat_ver_mult, 4096, . secs, 0 secs
7, sq_mat_ver_mult, 4096, . secs, 0 secs
8, sq_mat_ver_mult, 4096, . secs, 0 secs
9, sq_mat_ver_mult, 4096, . secs, 0 secs
10, sq_mat_ver_mult, 4096, . secs, 0 secs
1, sq_mat_ver_mult, 8192, . secs, 0 secs
2, sq_mat_ver_mult, 8192, . secs, 0 secs
3, sq_mat_ver_mult, 8192, . secs, 0 secs
4, sq_mat_ver_mult, 8192, . secs, 0 secs
5, sq_mat_ver_mult, 8192, . secs, 0 secs
6, sq_mat_ver_mult, 8192, . secs, 0 secs
7, sq_mat_ver_mult, 8192, . secs, 0 secs
8, sq_mat_ver_mult, 8192, . secs, 0 secs
9, sq_mat_ver_mult, 8192, . secs, 0 secs
10, sq_mat_ver_mult, 8192, . secs, 0 secs
1, sq_mat_ver_mult, 16384, . secs, 0 secs
2, sq_mat_ver_mult, 16384, . secs, 0 secs
3, sq_mat_ver_mult, 16384, . secs, 0 secs
4, sq_mat_ver_mult, 16384, . secs, 0 secs
5, sq_mat_ver_mult, 16384, . secs, 0 secs
6, sq_mat_ver_mult, 16384, . secs, 0 secs
7, sq_mat_ver_mult, 16384, . secs, 0 secs
8, sq_mat_ver_mult, 16384, . secs, 0 secs
9, sq_mat_ver_mult, 16384, . secs, 0 secs
10, sq_mat_ver_mult, 16384, . secs, 0 secs
1, sq_mat_ver_mult, 32768, . secs, 0 secs
2, sq_mat_ver_mult, 32768, . secs, 0 secs
3, sq_mat_ver_mult, 32768, . secs, 0 secs
4, sq_mat_ver_mult, 32768, . secs, 0 secs
5, sq_mat_ver_mult, 32768, . secs, 0 secs
6, sq_mat_ver_mult, 32768, . secs, 0 secs
7, sq_mat_ver_mult, 32768, . secs, 0 secs
8, sq_mat_ver_mult, 32768, . secs, 0 secs
9, sq_mat_ver_mult, 32768, . secs, 0 secs
10, sq_mat_ver_mult, 32768, . secs, 0 secs
1, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 64, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 128, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 256, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 512, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
4, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
5, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
6, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
7, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
8, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
9, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
10, sq_mat_ver_mult_mpi, 1024, 4 secs, 4.000000 secs
1, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
2, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
3, sq_mat_ver_mult_mpi, 2048, 4 secs, 4.000000 secs
